SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
2695,4,1,Urban,1989,"AED 2,99,819"
2733,5,1,Suburb,1992,"AED 2,90,095"
2439,5,1,Urban,1956,"AED 2,72,078"
1246,2,3,Rural,1988,"AED 1,30,941"
1835,5,1,Suburb,2015,"AED 2,41,849"
2462,3,3,Suburb,1985,"AED 2,06,273"
1202,3,1,Urban,2013,"AED 1,55,086"
2207,3,2,Suburb,1953,"AED 1,69,743"
1122,3,3,Suburb,1971,"AED 1,48,324"
1400,5,1,Suburb,2020,"AED 1,84,460"
1766,3,1,Urban,1953,"AED 1,38,095"
1293,3,2,Urban,2013,"AED 2,05,415"
1279,3,2,Suburb,1971,"AED 1,83,265"
2860,3,2,Urban,2011,"AED 2,84,616"
1883,3,1,Suburb,1989,"AED 1,81,948"
2633,4,2,Rural,1969,"AED 2,84,004"
1197,4,2,Rural,1958,"AED 90,960"
1981,3,3,Suburb,2014,"AED 1,98,755"
2930,3,3,Rural,1972,"AED 3,70,460"
2534,5,3,Rural,1984,"AED 3,48,379"
1751,3,1,Rural,2008,"AED 2,70,704"
1143,2,3,Suburb,1963,"AED 1,68,932"
1608,4,1,Urban,1993,"AED 1,89,126"
2224,3,2,Suburb,1971,"AED 2,18,169"
2147,4,1,Suburb,1977,"AED 1,99,220"
1186,3,1,Urban,2008,"AED 1,29,960"
2349,2,2,Suburb,1996,"AED 2,81,508"
1463,3,3,Suburb,2017,"AED 1,69,379"
2372,4,3,Suburb,2019,"AED 2,48,599"
2794,4,3,Rural,1966,"AED 4,11,678"
1659,4,2,Suburb,1980,"AED 1,19,033"
1763,5,1,Suburb,1963,"AED 2,30,075"
1954,4,2,Urban,1998,"AED 1,22,605"
2955,3,2,Rural,2016,"AED 2,96,999"
1402,2,2,Rural,1970,"AED 1,09,470"
2369,2,2,Suburb,1962,"AED 2,46,212"
2986,3,1,Rural,1999,"AED 3,10,583"
2534,5,3,Rural,2017,"AED 2,33,757"
1146,3,3,Urban,1961,"AED 1,00,102"
2171,4,2,Urban,1997,"AED 1,99,325"
1863,5,1,Rural,2013,"AED 3,31,027"
2734,3,2,Urban,1964,"AED 2,31,041"
2843,5,1,Suburb,1965,"AED 3,33,530"
1488,2,2,Urban,2021,"AED 61,093"
1928,3,3,Suburb,1999,"AED 2,05,778"
2959,3,3,Urban,1990,"AED 3,84,571"
2663,2,2,Rural,1953,"AED 3,39,773"
1550,5,3,Suburb,1969,"AED 1,86,745"
1337,2,2,Urban,1957,"AED 1,85,559"
1871,5,1,Urban,2017,"AED 2,13,894"
1640,3,1,Suburb,1996,"AED 1,80,978"
2802,5,1,Urban,1982,"AED 2,43,012"
2976,5,1,Rural,1954,"AED 2,65,076"
1472,4,2,Suburb,2017,"AED 1,63,315"
2969,4,3,Rural,1990,"AED 3,84,847"
1150,4,1,Suburb,2010,"AED 1,90,479"
2438,2,3,Suburb,1973,"AED 2,04,129"
2321,2,2,Suburb,1976,"AED 2,49,930"
2634,4,3,Suburb,1978,"AED 3,72,750"
1262,3,3,Rural,2016,"AED 1,89,650"
2787,3,3,Rural,1986,"AED 3,08,299"
1143,3,2,Suburb,2002,"AED 95,784"
1345,2,2,Suburb,1951,"AED 1,65,456"
1623,5,2,Rural,1986,"AED 2,36,532"
2016,2,3,Suburb,2021,"AED 2,12,191"
2595,4,1,Suburb,2014,"AED 2,98,280"
1880,5,1,Rural,1997,"AED 1,72,765"
1001,3,3,Rural,1998,"AED 1,51,917"
1896,2,1,Rural,1996,"AED 1,96,497"
2327,2,1,Urban,1953,"AED 2,12,603"
1253,4,3,Suburb,1952,"AED 2,05,828"
2675,3,2,Rural,1985,"AED 3,50,608"
1452,2,1,Suburb,1955,"AED 64,056"
2060,2,2,Urban,1983,"AED 2,02,645"
2183,5,1,Rural,2001,"AED 2,15,636"
2014,2,3,Rural,1980,"AED 2,10,337"
1008,5,3,Suburb,1983,"AED 1,61,064"
2256,2,2,Suburb,1991,"AED 1,62,733"
2122,3,2,Rural,1997,"AED 2,83,190"
2682,4,2,Rural,2005,"AED 2,57,019"
1815,3,2,Suburb,1967,"AED 1,61,315"
1207,4,3,Suburb,1963,"AED 1,71,345"
2154,2,3,Rural,2018,"AED 3,01,758"
1403,3,3,Urban,2007,"AED 1,86,512"
1151,5,2,Suburb,2019,"AED 1,47,962"
1053,4,3,Suburb,2005,"AED 96,856"
2143,4,3,Suburb,2002,"AED 2,41,976"
2696,2,1,Rural,2018,"AED 2,56,547"
2943,4,1,Rural,2009,"AED 2,45,612"
1627,4,1,Rural,1981,"AED 1,92,617"
1586,4,2,Suburb,1996,"AED 2,34,538"
2648,2,2,Suburb,1971,"AED 2,66,526"
2991,3,3,Urban,1953,"AED 4,11,275"
2443,2,3,Rural,1974,"AED 2,41,617"
2445,5,2,Rural,2010,"AED 2,30,464"
1103,4,1,Suburb,1961,"AED 2,49,886"
2875,4,3,Suburb,1980,"AED 3,20,712"
1253,3,1,Urban,1950,"AED 1,31,536"
2250,4,3,Suburb,2010,"AED 2,58,682"
2135,3,1,Suburb,1955,"AED 2,36,722"
1509,4,3,Suburb,1971,"AED 1,52,418"
2496,4,1,Urban,1961,"AED 2,77,449"
1098,2,1,Urban,1972,"AED 97,640"
1152,2,2,Urban,1984,"AED 68,865"
2884,5,3,Urban,1963,"AED 2,92,602"
1913,3,1,Urban,1979,"AED 1,63,127"
2919,5,2,Rural,1971,"AED 3,16,117"
1877,2,3,Suburb,1965,"AED 1,73,592"
1337,3,2,Urban,2020,"AED 2,45,241"
2729,2,1,Urban,1964,"AED 2,99,136"
1821,3,3,Urban,1951,"AED 1,02,621"
2186,4,1,Urban,1971,"AED 1,74,741"
2743,5,1,Suburb,2012,"AED 3,03,840"
1956,5,2,Suburb,1964,"AED 2,55,501"
2704,3,1,Rural,1968,"AED 3,05,226"
1160,5,3,Suburb,1970,"AED 1,74,049"
2603,2,2,Urban,1976,"AED 2,40,370"
1800,5,1,Urban,1968,"AED 3,10,733"
1397,3,1,Urban,1975,"AED 1,25,680"
2300,5,1,Urban,1998,"AED 3,03,254"
1815,5,2,Suburb,2007,"AED 1,37,932"
2939,2,3,Suburb,2016,"AED 2,38,181"
2527,4,2,Rural,1974,"AED 2,99,144"
2919,2,1,Suburb,1971,"AED 3,40,122"
2415,5,2,Urban,1963,"AED 2,30,193"
2158,5,1,Urban,1958,"AED 3,00,495"
2218,4,2,Suburb,1971,"AED 2,67,560"
1400,4,1,Rural,1964,"AED 1,73,748"
1639,2,2,Rural,1989,"AED 1,98,113"
2056,4,1,Suburb,2014,"AED 2,37,224"
1687,2,1,Suburb,2002,"AED 1,30,384"
1459,3,2,Suburb,1980,"AED 2,48,587"
1954,5,2,Urban,1959,"AED 2,68,827"
2906,4,1,Suburb,1983,"AED 3,07,426"
1469,3,3,Suburb,1986,"AED 2,24,294"
2398,3,1,Rural,1962,"AED 3,35,992"
2045,2,1,Rural,1987,"AED 2,65,649"
1749,2,3,Urban,1994,"AED 2,18,961"
2693,4,1,Rural,1959,"AED 2,57,513"
1037,2,2,Rural,1971,"AED 86,619"
1229,3,2,Suburb,2010,"AED 48,780"
2388,3,3,Rural,1987,"AED 2,74,896"
1562,5,1,Rural,2007,"AED 1,81,238"
1437,3,2,Rural,1975,"AED 49,052"
2799,4,1,Rural,1998,"AED 1,82,649"
2306,5,3,Rural,2011,"AED 3,47,942"
1026,2,2,Rural,1958,"AED 31,998"
1225,5,3,Rural,2009,"AED 1,81,103"
2300,3,1,Rural,1979,"AED 1,72,216"
1797,4,1,Urban,1970,"AED 2,73,263"
2632,2,1,Suburb,1999,"AED 3,06,987"
1283,2,3,Rural,1978,"AED 1,72,934"
1878,3,2,Suburb,1989,"AED 1,59,685"
1959,4,3,Rural,1966,"AED 2,44,916"
2504,3,2,Urban,2017,"AED 2,50,928"
1452,3,1,Rural,2013,"AED 86,276"
2019,4,1,Urban,1972,"AED 2,09,030"
2852,3,3,Rural,1956,"AED 2,67,060"
1815,4,2,Rural,1983,"AED 1,58,868"
1658,4,1,Suburb,1973,"AED 2,00,255"
2539,3,1,Rural,1956,"AED 1,97,039"
1546,3,3,Rural,1957,"AED 2,51,427"
2215,5,3,Urban,1952,"AED 2,98,799"
2072,2,2,Suburb,1953,"AED 2,09,615"
2535,2,1,Rural,2012,"AED 3,43,628"
1016,4,2,Suburb,2015,"AED 86,743"
2195,5,2,Suburb,2018,"AED 2,60,505"
2243,4,2,Rural,1959,"AED 2,67,664"
1157,5,3,Rural,2012,"AED 87,138"
1476,4,2,Rural,1986,"AED 2,17,625"
2069,2,2,Rural,2021,"AED 1,79,620"
2396,5,2,Rural,1952,"AED 3,04,273"
1517,3,3,Suburb,1978,"AED 1,80,447"
1098,3,3,Urban,2011,"AED 96,810"
2915,2,1,Suburb,1982,"AED 2,93,526"
2768,5,3,Rural,2009,"AED 3,33,028"
2060,3,3,Suburb,1991,"AED 2,61,561"
1279,3,2,Urban,2011,"AED 60,827"
2372,3,1,Suburb,1955,"AED 2,78,442"
1496,2,3,Rural,1998,"AED 1,23,828"
1301,4,1,Rural,2021,"AED 88,586"
1180,3,2,Rural,1992,"AED 1,34,444"
1606,3,3,Urban,1958,"AED 1,36,925"
2122,4,2,Rural,2000,"AED 2,34,165"
1699,3,2,Rural,1963,"AED 1,50,305"
1992,5,1,Rural,1973,"AED 2,40,050"
2139,3,3,Rural,2021,"AED 2,77,543"
1190,4,1,Suburb,1982,"AED 1,97,241"
1252,2,2,Rural,1978,"AED 1,01,806"
1980,2,3,Suburb,1951,"AED 1,97,811"
1927,5,2,Urban,2001,"AED 1,72,279"
2184,3,1,Suburb,1994,"AED 2,05,236"
2279,3,1,Suburb,1987,"AED 2,06,409"
2346,4,2,Suburb,1994,"AED 2,79,440"
1127,4,1,Suburb,1965,"AED 1,27,175"
1017,5,1,Suburb,1996,"AED 1,27,458"
2816,5,2,Suburb,1974,"AED 3,56,064"
2758,3,3,Urban,2006,"AED 3,44,788"
1565,3,3,Rural,1968,"AED 1,53,283"
1569,5,3,Urban,1987,"AED 23,126"
2346,2,2,Suburb,2015,"AED 2,97,940"
2895,2,2,Suburb,1956,"AED 3,48,537"
1685,2,1,Suburb,1969,"AED 1,45,097"
2815,2,3,Urban,1953,"AED 3,16,533"
1625,5,1,Suburb,1964,"AED 2,73,167"
2311,4,2,Urban,2013,"AED 3,43,467"
2966,2,3,Suburb,2006,"AED 2,58,866"
1853,5,2,Suburb,1999,"AED 1,97,763"
2686,2,1,Urban,1966,"AED 1,96,431"
1961,3,1,Urban,1965,"AED 1,92,272"
2662,2,2,Urban,1952,"AED 2,52,806"
1154,5,2,Urban,1994,"AED 20,075"
1489,3,3,Suburb,1993,"AED 2,25,168"
2409,3,2,Suburb,2011,"AED 3,33,109"
1784,2,1,Rural,1958,"AED 2,53,463"
2127,2,1,Suburb,2009,"AED 2,73,921"
2952,3,2,Suburb,2006,"AED 2,30,500"
2416,4,2,Suburb,2010,"AED 3,61,696"
2834,5,3,Suburb,2013,"AED 3,19,790"
1245,5,1,Suburb,1966,"AED 1,74,765"
2199,5,1,Rural,2007,"AED 3,00,719"
2062,5,1,Urban,1996,"AED 2,61,327"
2500,5,2,Suburb,2001,"AED 3,63,562"
2705,3,1,Suburb,1967,"AED 2,51,735"
1758,5,2,Urban,1986,"AED 2,80,966"
1537,4,3,Urban,2019,"AED 1,10,904"
2890,4,2,Rural,1966,"AED 3,35,743"
2841,2,3,Rural,1952,"AED 2,76,296"
1920,2,3,Rural,1982,"AED 2,22,212"
1407,2,2,Urban,1956,"AED 2,21,698"
1524,2,3,Suburb,1951,"AED 2,23,582"
1827,3,2,Urban,1983,"AED 2,06,213"
2529,4,1,Suburb,1953,"AED 2,14,946"
1902,3,2,Urban,1998,"AED 1,52,143"
2848,4,3,Urban,1966,"AED 3,76,480"
1035,3,3,Urban,2020,"AED 1,35,298"
1684,4,1,Urban,1961,"AED 1,60,232"
1019,2,2,Suburb,1993,"AED 70,855"
1320,4,1,Suburb,1998,"AED 1,83,737"
2799,2,3,Suburb,2018,"AED 3,88,319"
1511,4,2,Suburb,1966,"AED 1,65,074"
1399,3,3,Rural,1987,"AED 2,13,210"
1653,5,2,Rural,2005,"AED 1,40,383"
1971,4,1,Urban,2010,"AED 2,60,495"
2906,3,1,Suburb,1981,"AED 3,85,305"
1470,5,3,Suburb,2005,"AED 1,44,255"
2166,3,1,Urban,1972,"AED 2,77,469"
2115,5,1,Urban,2015,"AED 2,52,361"
2377,2,3,Urban,2016,"AED 2,56,203"
